GLN,METERING_POINT_COUNT
"7080000923168",
"7080001033477",
"7080001180041",
"7080001266455",
"7080001319830",76992
"7080001426842",
"7080003306401",
"7080003307231",
"7080003321466",
"7080003380630",
"7080003406033",
"7080003503541",
"7080003612595",
"7080003654786",
"7080003654793",
"7080003659613",
"7080003674630",
"7080003674685",
"7080003807724",
"7080003807946",8924
"7080003809599",68802
"7080003811318",19644
"7080003816184",
"7080003822901",
"7080003823038",
"7080003831811",
"7080003857989",
"7080003858825",
"7080003864895",
"7080003869012",
"7080003871534",10973
"7080003897855",7249
"7080003947932",
"7080003965325",33729
"7080003968395",
"7080003992680",
"7080003999207",
"7080004045743",4835
"7080004053632",
"7080004062702",
"7080004064553",17244
"7080004067882",
"7080004087071",
"7080004122741",
"7080004295377",
"7080004318335",
"7080004320253",5341
"7080004382671",
"7080004399877",
"7080005046053",140237
"7080005046060",8337
"7080005046220",861140
"7080005046404",
"7080005046442",12135
"7080005046459",
"7080005048415",18675
"7080005050500",
"7080005050616",
"7080005050654",9581
"7080005050661",
"7080005050838",
"7080005050944",
"7080005050975",178069
"7080005050982",
"7080005051248",
"7080005051361",32212
"7080005051378",221627
"7080005051637",
"7080005051859",62848
"7080005051880",147146
"7080005051897",9181
"7080005051927",
"7080005051934",7925
"7080005052627",62277
"7080005052672",83425
"7080005052702",71010
"7080005052801",11996
"7080005052818",
"7080005052825",
"7080005052900",5471
"7080005052917",9694
"7080005052931",
"7080005053044",23927
"7080005053143",
"7080005053259",
"7080005053273",
"7080005054898",
"7080005054928",
"7080005055666",
"7080005055772",
"7080005055963",
"7080005056007",
"7080005056069",150687
"7080005056496",
"7080005062077",
"7080010000064",3926
"7080010000132",
"7080010000316",7184
"7080010001276",
"7080010001832",
"7080010002297",
"7080010002327",
"7080010002419",7537
"7080010002433",
"7080010002464",4389
"7080010003218",
"7080010003614",
"7080010003720",
"7080010003836",8841
"7080010003911",
"7080010003959",
"7080010004017",
"7080010004369",19101
"7080010004383",10569
"7080010005427",3734
"7080010008367",
"7080010009654",7572
"7080010010919",
"7080010012852",
"7080010013088",
"7080010014368",
"7080010014696",
